timestamp,tool,phase,x_minus,x_plus,y_minus,y_plus,center_x,center_y,z_result,z_offset,nsew_x_depth,nsew_y_depth
2026-07-17T07:44:55,T1,S,249.1380,251.8880,0.1924973,3.520001,250.5130,1.856249,,0.25,0.25
2026-07-17T07:44:55,T1,TC,5.557,,1,,,,,,,
2026-07-17T07:44:55,T1,TC,5.560,,2,,,,,,,
2026-07-17T07:44:55,T1,TC,5.560,,3,,,,,,,
2026-07-17T07:44:55,T1,TC,5.560,,4,,,,,,,
2026-07-17T07:44:55,T1,TC,5.562,,5,,,,,,,
2026-07-17T07:44:55,T1,C,,,,,250.5130,1.856249,5.560000,0.1230001
2026-07-17T07:44:55,T2,TX-,248.300,1,1,0.25,,,,,,
2026-07-17T07:44:55,T2,TX-,248.275,1,2,0.25,,,,,,
2026-07-17T07:44:55,T2,TX-,248.275,1,3,0.25,,,,,,
2026-07-17T07:44:55,T2,TX-,248.300,1,4,0.25,,,,,,
2026-07-17T07:44:55,T2,TX-,248.288,1,5,0.25,,,,,,
2026-07-17T07:44:55,T2,TX+,250.812,0,1,0.25,,,,,,
2026-07-17T07:44:55,T2,TX+,250.825,0,2,0.25,,,,,,
2026-07-17T07:44:55,T2,TX+,250.812,0,3,0.25,,,,,,
2026-07-17T07:44:55,T2,TX+,250.812,0,4,0.25,,,,,,
2026-07-17T07:44:55,T2,TX+,250.812,0,5,0.25,,,,,,
2026-07-17T07:44:55,T2,TY-,0.287,1,1,0.25,,,,,,
2026-07-17T07:44:55,T2,TY-,0.300,1,2,0.25,,,,,,
2026-07-17T07:44:55,T2,TY-,0.300,1,3,0.25,,,,,,
2026-07-17T07:44:55,T2,TY-,0.275,1,4,0.25,,,,,,
2026-07-17T07:44:55,T2,TY-,0.300,1,5,0.25,,,,,,
2026-07-17T07:44:55,T2,TY+,3.088,0,1,0.25,,,,,,
2026-07-17T07:44:55,T2,TY+,3.069,0,2,0.25,,,,,,
2026-07-17T07:44:55,T2,TY+,3.062,0,3,0.25,,,,,,
2026-07-17T07:44:55,T2,TY+,3.062,0,4,0.25,,,,,,
2026-07-17T07:44:55,T2,TY+,3.062,0,5,0.25,,,,,,
2026-07-17T07:44:55,T2,S,248.2875,250.8150,0.2925018,3.068750,249.5512,1.680626,,0.25,0.25
2026-07-17T07:44:55,T2,TC,5.800,,1,,,,,,,
2026-07-17T07:44:55,T2,TC,5.805,,2,,,,,,,
2026-07-17T07:44:55,T2,TC,5.805,,3,,,,,,,
2026-07-17T07:44:55,T2,TC,5.800,,4,,,,,,,
2026-07-17T07:44:55,T2,TC,5.805,,5,,,,,,,
2026-07-17T07:44:55,T2,C,,,,,249.5512,1.680626,5.803000,0.3660002
2026-07-17T10:11:24,T0,TX-,249.125,1,1,0.25,,,,,,
2026-07-17T10:11:24,T0,TX-,249.113,1,2,0.25,,,,,,
2026-07-17T10:11:24,T0,TX-,249.137,1,3,0.25,,,,,,
2026-07-17T10:11:24,T0,TX-,249.137,1,4,0.25,,,,,,
2026-07-17T10:11:24,T0,TX-,249.137,1,5,0.25,,,,,,
2026-07-17T10:11:24,T0,TX+,251.913,0,1,0.25,,,,,,
2026-07-17T10:11:24,T0,TX+,251.900,0,2,0.25,,,,,,
2026-07-17T10:11:24,T0,TX+,251.887,0,3,0.25,,,,,,
2026-07-17T10:11:24,T0,TX+,251.887,0,4,0.25,,,,,,
2026-07-17T10:11:24,T0,TX+,251.900,0,5,0.25,,,,,,
2026-07-17T10:11:24,T0,TY-,0.400,1,1,0.25,,,,,,
2026-07-17T10:11:24,T0,TY-,0.375,1,2,0.25,,,,,,
2026-07-17T10:11:24,T0,TY-,0.375,1,3,0.25,,,,,,
2026-07-17T10:11:24,T0,TY-,0.375,1,4,0.25,,,,,,
2026-07-17T10:11:24,T0,TY-,0.375,1,5,0.25,,,,,,
2026-07-17T10:11:24,T0,TY+,3.625,0,1,0.25,,,,,,
2026-07-17T10:11:24,T0,TY+,3.625,0,2,0.25,,,,,,
2026-07-17T10:11:24,T0,TY+,3.613,0,3,0.25,,,,,,
2026-07-17T10:11:24,T0,TY+,3.600,0,4,0.25,,,,,,
2026-07-17T10:11:24,T0,TY+,3.600,0,5,0.25,,,,,,
2026-07-17T10:11:24,T0,S,249.1300,251.8975,0.3800003,3.612500,250.5138,1.996250,,0.25,0.25
2026-07-17T10:11:24,T0,TC,5.430,,1,,,,,,,
2026-07-17T10:11:24,T0,TC,5.430,,2,,,,,,,
2026-07-17T10:11:24,T0,TC,5.432,,3,,,,,,,
2026-07-17T10:11:24,T0,TC,5.430,,4,,,,,,,
2026-07-17T10:11:24,T0,TC,5.435,,5,,,,,,,
2026-07-17T10:11:24,T0,C,,,,,250.5138,1.996250,5.431500,
2026-07-17T10:11:24,T1,TX-,249.138,1,1,0.25,,,,,,
2026-07-17T10:11:24,T1,TX-,249.126,1,2,0.25,,,,,,
2026-07-17T10:11:24,T1,TX-,249.138,1,3,0.25,,,,,,
2026-07-17T10:11:24,T1,TX-,249.126,1,4,0.25,,,,,,
2026-07-17T10:11:24,T1,TX-,249.126,1,5,0.25,,,,,,
2026-07-17T10:11:24,T1,TX+,251.901,0,1,0.25,,,,,,
2026-07-17T10:11:24,T1,TX+,251.888,0,2,0.25,,,,,,
2026-07-17T10:11:24,T1,TX+,251.888,0,3,0.25,,,,,,
2026-07-17T10:11:24,T1,TX+,251.888,0,4,0.25,,,,,,
2026-07-17T10:11:24,T1,TX+,251.888,0,5,0.25,,,,,,
2026-07-17T10:11:24,T1,TY-,0.200,1,1,0.25,,,,,,
2026-07-17T10:11:24,T1,TY-,0.187,1,2,0.25,,,,,,
2026-07-17T10:11:24,T1,TY-,0.200,1,3,0.25,,,,,,
2026-07-17T10:11:24,T1,TY-,0.200,1,4,0.25,,,,,,
2026-07-17T10:11:24,T1,TY-,0.187,1,5,0.25,,,,,,
2026-07-17T10:11:24,T1,TY+,3.513,0,1,0.25,,,,,,
2026-07-17T10:11:24,T1,TY+,3.513,0,2,0.25,,,,,,
2026-07-17T10:11:24,T1,TY+,3.500,0,3,0.25,,,,,,
2026-07-17T10:11:24,T1,TY+,3.500,0,4,0.25,,,,,,
2026-07-17T10:11:24,T1,TY+,3.500,0,5,0.25,,,,,,
2026-07-17T10:11:24,T1,S,249.1305,251.8905,0.1949982,3.504999,250.5105,1.849998,,0.25,0.25
2026-07-17T10:11:24,T1,TC,5.548,,1,,,,,,,
2026-07-17T10:11:24,T1,TC,5.548,,2,,,,,,,
2026-07-17T10:11:24,T1,TC,5.548,,3,,,,,,,
2026-07-17T10:11:24,T1,TC,5.565,,4,,,,,,,
2026-07-17T10:11:24,T1,TC,5.548,,5,,,,,,,
2026-07-17T10:11:24,T1,C,,,,,250.5105,1.849998,5.551000,0.1195002
2026-07-17T10:11:24,T2,TX-,248.275,1,1,0.25,,,,,,
2026-07-17T10:11:24,T2,TX-,248.288,1,2,0.25,,,,,,
2026-07-17T10:11:24,T2,TX-,248.238,1,3,0.25,,,,,,
2026-07-17T10:11:24,T2,TX-,248.300,1,4,0.25,,,,,,
2026-07-17T10:11:24,T2,TX-,248.300,1,5,0.25,,,,,,
2026-07-17T10:11:24,T2,TX+,250.825,0,1,0.25,,,,,,
2026-07-17T10:11:24,T2,TX+,250.812,0,2,0.25,,,,,,
2026-07-17T10:11:24,T2,TX+,250.812,0,3,0.25,,,,,,
2026-07-17T10:11:24,T2,TX+,250.837,0,4,0.25,,,,,,
2026-07-17T10:11:24,T2,TX+,250.812,0,5,0.25,,,,,,
2026-07-17T10:11:24,T2,TY-,0.225,1,1,0.25,,,,,,
2026-07-17T10:11:24,T2,TY-,0.250,1,2,0.25,,,,,,
2026-07-17T10:11:24,T2,TY-,0.262,1,3,0.25,,,,,,
2026-07-17T10:11:24,T2,TY-,0.250,1,4,0.25,,,,,,
2026-07-17T10:11:24,T2,TY-,0.275,1,5,0.25,,,,,,
2026-07-17T10:11:24,T2,TY+,3.050,0,1,0.25,,,,,,
2026-07-17T10:11:24,T2,TY+,3.037,0,2,0.25,,,,,,
2026-07-17T10:11:24,T2,TY+,3.062,0,3,0.25,,,,,,
2026-07-17T10:11:24,T2,TY+,3.012,0,4,0.25,,,,,,
2026-07-17T10:11:24,T2,TY+,3.012,0,5,0.25,,,,,,
2026-07-17T10:11:24,T2,S,248.2800,250.8200,0.2524994,3.034999,249.5500,1.643749,,0.25,0.25
2026-07-17T10:11:24,T2,TC,5.782,,1,,,,,,,
2026-07-17T10:11:24,T2,TC,5.782,,2,,,,,,,
2026-07-17T10:11:24,T2,TC,5.798,,3,,,,,,,
2026-07-17T10:11:24,T2,TC,5.785,,4,,,,,,,
2026-07-17T10:11:24,T2,TC,5.785,,5,,,,,,,
2026-07-17T10:11:24,T2,C,,,,,249.5500,1.643749,5.786500,0.3550000
